epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.073,1.21919,1.89123,1.55403,0.35811,0.65483,0.40424,0.2103,1.69242,2.48535,2.00987,0.0676346,0.000326923,0.000326923
2,800.581,1.19252,1.58082,1.52742,0.73383,0.71428,0.73984,0.48852,1.36424,1.32169,1.55162,0.0346303,0.000655899,0.000655899
3,1312.49,1.24658,1.53747,1.57919,0.57871,0.67218,0.65233,0.33513,1.56033,2.74972,1.88921,0.0016215,0.000980474,0.000980474
4,1830.76,1.16828,1.55364,1.50989,0.49869,0.62145,0.63098,0.39199,1.36017,2.2222,1.77126,0.0009802,0.0009802,0.0009802
5,2333.08,1.2271,1.48025,1.56765,0.51352,0.75938,0.64821,0.33106,1.56402,2.41057,1.92907,0.0009736,0.0009736,0.0009736
6,2828.99,1.21363,1.44502,1.56133,0.70091,0.66749,0.75809,0.46948,1.43184,1.57233,1.75614,0.000967,0.000967,0.000967
7,3323.88,1.14104,1.39988,1.49296,0.61613,0.7653,0.72281,0.46767,1.29224,1.67217,1.58494,0.0009604,0.0009604,0.0009604
8,3706.48,1.16259,1.42864,1.51359,0.53299,0.71494,0.6579,0.42648,1.30885,1.43162,1.52386,0.0009538,0.0009538,0.0009538
9,4884.39,1.13898,1.34682,1.48829,0.72223,0.75191,0.77204,0.48385,1.3469,1.15698,1.56823,0.0009472,0.0009472,0.0009472
10,5352.49,1.12189,1.31964,1.46882,0.70606,0.71215,0.80038,0.53774,1.2013,1.15017,1.51295,0.0009406,0.0009406,0.0009406
11,5743.69,1.15489,1.30134,1.495,0.80193,0.83467,0.8657,0.56584,1.32038,1.08106,1.55476,0.000934,0.000934,0.000934
12,6138.14,1.0653,1.24003,1.42999,0.79004,0.73834,0.83561,0.55613,1.22319,1.16438,1.50096,0.0009274,0.0009274,0.0009274
13,6535.61,1.10894,1.28556,1.47674,0.84571,0.76239,0.83564,0.58149,1.13952,1.20932,1.44162,0.0009208,0.0009208,0.0009208
